,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
9867,2019,2,True,11740560,217135.625,9360.75,17459.875,23953.0,24724.375,30144.0,38934.875,32655.625,32191.0,1125056,11740560,서울,강동구,고덕2동
9868,2019,3,False,11740560,228412.72727272726,9851.818181818182,19145.772727272728,22614.636363636364,25887.5,32205.272727272728,42675.63636363636,34197.681818181816,33974.09090909091,1125056,11740560,서울,강동구,고덕2동
9869,2019,3,True,11740560,220999.7,10073.5,17977.3,23664.1,25575.0,31207.7,40098.5,32726.6,32048.1,1125056,11740560,서울,강동구,고덕2동
9870,2019,4,False,11740560,229068.36363636365,10379.181818181818,19581.81818181818,22490.0,26185.18181818182,33132.0,41589.0,33713.77272727273,34141.181818181816,1125056,11740560,서울,강동구,고덕2동
9871,2019,4,True,11740560,223417.875,10720.375,17950.125,23701.125,26170.625,32607.625,38979.875,32048.125,33575.625,1125056,11740560,서울,강동구,고덕2동
9872,2019,5,False,11740560,219956.4347826087,9672.304347826086,18245.695652173912,21377.478260869564,25206.347826086956,31848.91304347826,40082.17391304348,32238.695652173912,33314.95652173913,1125056,11740560,서울,강동구,고덕2동
9873,2019,5,True,11740560,213613.0,9620.75,16843.625,22041.125,24847.75,30518.25,37787.25,30994.75,33224.625,1125056,11740560,서울,강동구,고덕2동
9874,2019,6,False,11740560,214019.05,8942.5,17387.45,21153.15,24202.95,30709.0,38759.9,32532.5,32575.35,1125056,11740560,서울,강동구,고덕2동
9875,2019,6,True,11740560,204137.4,9407.6,16313.7,21307.2,23578.1,28745.4,35863.4,30182.3,31066.0,1125056,11740560,서울,강동구,고덕2동
9876,2019,7,False,11740560,215382.5652173913,9317.739130434782,17684.652173913044,22021.0,24666.347826086956,30925.82608695652,39182.782608695656,31476.347826086956,32482.695652173912,1125056,11740560,서울,강동구,고덕2동
9877,2019,7,True,11740560,206126.25,8495.875,15817.125,22046.375,24159.625,29437.125,36983.875,29947.75,31595.875,1125056,11740560,서울,강동구,고덕2동
9878,2019,8,False,11740560,246491.4090909091,10062.636363636364,19671.409090909092,25414.863636363636,28752.909090909092,36075.36363636364,44410.59090909091,36475.681818181816,38168.5,1125056,11740560,서울,강동구,고덕2동
9879,2019,8,True,11740560,248261.66666666666,10265.222222222223,19707.333333333332,26115.666666666668,30741.222222222223,36866.333333333336,44278.555555555555,36414.0,36437.666666666664,1125056,11740560,서울,강동구,고덕2동
9880,2019,9,False,11740560,255634.4,10855.95,20485.85,25356.75,30835.5,38753.45,46832.0,37804.45,37347.2,1125056,11740560,서울,강동구,고덕2동
9881,2019,9,True,11740560,252860.66666666666,10906.111111111111,19497.777777777777,27000.11111111111,31102.444444444445,37923.77777777778,45544.555555555555,37119.88888888889,36364.88888888889,1125056,11740560,서울,강동구,고덕2동
9882,2019,10,False,11740560,291988.21428571426,12866.5,22607.571428571428,28020.14285714286,39552.21428571428,45371.57142857143,53675.92857142857,42571.71428571428,40539.78571428572,1125056,11740560,서울,강동구,고덕2동
9883,2019,10,True,11740560,291285.25,11534.5,21377.25,29715.25,40813.75,45651.25,52969.75,42151.5,39998.5,1125056,11740560,서울,강동구,고덕2동
9884,2019,11,False,11740560,276528.2380952381,13697.238095238095,22012.095238095237,25362.333333333332,37147.57142857143,43161.380952380954,48957.0,39967.333333333336,39253.42857142857,1125056,11740560,서울,강동구,고덕2동
9885,2019,11,True,11740560,281974.6666666667,12955.222222222223,21632.88888888889,27842.222222222223,40952.444444444445,45128.88888888889,49010.77777777778,39411.444444444445,37943.88888888889,1125056,11740560,서울,강동구,고덕2동
9886,2019,12,False,11740560,272081.63636363635,14000.045454545454,22233.0,25609.727272727272,37561.86363636364,42894.454545454544,46054.545454545456,38890.72727272727,37763.72727272727,1125056,11740560,서울,강동구,고덕2동
9887,2019,12,True,11740560,284942.3333333333,13525.777777777777,22356.444444444445,28337.666666666668,42521.444444444445,46396.0,47614.0,39039.88888888889,37961.11111111111,1125056,11740560,서울,강동구,고덕2동
9888,2019,1,False,11740570,873854.0434782609,70384.04347826086,78754.13043478261,93386.86956521739,128013.34782608696,134384.73913043478,127975.17391304347,108783.60869565218,99968.52173913043,1125072,11740570,서울,강동구,암사1동
9889,2019,1,True,11740570,920522.125,69253.875,78697.125,101361.5,139657.25,147572.5,136204.875,113433.875,101887.875,1125072,11740570,서울,강동구,암사1동
9890,2019,2,False,11740570,819527.4090909091,63362.63636363636,71163.45454545454,89693.68181818182,122287.59090909091,126719.22727272728,120143.40909090909,102619.09090909091,93236.77272727272,1125072,11740570,서울,강동구,암사1동
9891,2019,2,True,11740570,858661.0,62369.875,71602.5,95607.0,130833.625,137455.125,126917.75,106101.125,95963.375,1125072,11740570,서울,강동구,암사1동
9892,2019,3,False,11740570,826400.8181818182,67908.81818181818,66459.40909090909,86404.59090909091,124146.95454545454,130194.63636363637,121063.68181818182,104114.45454545454,94238.81818181818,1125072,11740570,서울,강동구,암사1동
9893,2019,3,True,11740570,877576.0,66199.1,73833.4,96810.7,134842.9,144215.8,128066.6,106600.4,95145.6,1125072,11740570,서울,강동구,암사1동
9894,2019,4,False,11740570,818723.7272727273,67422.13636363637,65964.31818181818,84837.04545454546,121939.81818181818,129738.54545454546,120121.77272727272,103062.18181818182,93503.45454545454,1125072,11740570,서울,강동구,암사1동
9895,2019,4,True,11740570,863210.5,66305.625,73430.25,95781.75,129951.375,142519.125,125005.875,104451.0,93609.125,1125072,11740570,서울,강동구,암사1동
9896,2019,5,False,11740570,793365.2608695652,62107.739130434784,62424.30434782609,83273.30434782608,117698.30434782608,127115.26086956522,117803.60869565218,99617.43478260869,90523.13043478261,1125072,11740570,서울,강동구,암사1동
9897,2019,5,True,11740570,827492.25,60813.75,69588.375,93216.625,124484.5,134472.375,121216.5,100421.375,90341.5,1125072,11740570,서울,강동구,암사1동
9898,2019,6,False,11740570,786850.7,64162.95,66062.85,82936.35,113149.05,125004.35,114743.95,98954.0,89256.95,1125072,11740570,서울,강동구,암사1동
9899,2019,6,True,11740570,828849.1,62907.9,71418.0,91640.5,124420.8,136692.5,121001.9,99033.2,89182.4,1125072,11740570,서울,강동구,암사1동
9900,2019,7,False,11740570,777440.6521739131,62503.47826086957,69407.56521739131,83662.69565217392,110623.91304347826,121556.95652173914,113468.43478260869,96713.56521739131,86054.82608695653,1125072,11740570,서울,강동구,암사1동
9901,2019,7,True,11740570,821549.5,58959.125,70707.5,90864.5,124314.875,136415.25,120329.125,99321.25,87665.375,1125072,11740570,서울,강동구,암사1동
9902,2019,8,False,11740570,741297.5454545454,57811.77272727273,64102.545454545456,80239.27272727272,105869.54545454546,115699.90909090909,108487.13636363637,91388.81818181818,82432.90909090909,1125072,11740570,서울,강동구,암사1동
9903,2019,8,True,11740570,764670.0,54507.22222222222,64835.11111111111,85620.0,115182.66666666667,123553.55555555556,112806.11111111111,91149.77777777778,82456.66666666667,1125072,11740570,서울,강동구,암사1동
9904,2019,9,False,11740570,687323.6,52377.95,53199.9,71385.85,98931.05,108167.35,101186.2,86639.75,78565.1,1125072,11740570,서울,강동구,암사1동
9905,2019,9,True,11740570,748813.5555555555,53420.333333333336,62248.444444444445,82836.77777777778,112596.33333333333,123144.66666666667,109704.77777777778,91245.11111111111,79731.66666666667,1125072,11740570,서울,강동구,암사1동
9906,2019,10,False,11740570,711494.5714285715,57411.142857142855,59961.857142857145,73360.64285714286,102469.92857142857,113330.57142857143,103253.5,86895.0,78396.07142857143,1125072,11740570,서울,강동구,암사1동
9907,2019,10,True,11740570,730025.25,53398.75,62740.25,80792.25,109683.5,120325.0,105235.25,86791.5,76695.0,1125072,11740570,서울,강동구,암사1동
9908,2019,11,False,11740570,825755.380952381,73126.85714285714,74921.71428571429,82038.04761904762,117247.33333333333,130113.42857142857,118525.28571428571,102229.0,91830.42857142857,1125072,11740570,서울,강동구,암사1동
9909,2019,11,True,11740570,878148.2222222222,68740.66666666667,79837.55555555556,94855.11111111111,132390.11111111112,144816.0,125069.44444444444,105290.44444444444,93717.55555555556,1125072,11740570,서울,강동구,암사1동
9910,2019,12,False,11740570,833275.6818181818,70601.13636363637,75701.13636363637,85175.68181818182,118458.54545454546,130855.81818181818,118625.68181818182,104271.22727272728,94467.81818181818,1125072,11740570,서울,강동구,암사1동
9911,2019,12,True,11740570,889270.7777777778,68102.44444444444,80027.33333333333,96454.22222222222,133876.55555555556,146352.44444444444,127167.77777777778,107874.77777777778,96315.11111111111,1125072,11740570,서울,강동구,암사1동
9912,2019,1,False,11740580,414178.47826086957,41298.52173913043,30927.565217391304,44151.47826086957,63984.13043478261,63898.34782608696,61409.30434782609,47826.17391304348,46800.0,1125058,11740580,서울,강동구,암사2동
9913,2019,1,True,11740580,428548.625,38388.625,30089.25,47494.875,71615.625,69143.0,63688.375,47730.625,46039.75,1125058,11740580,서울,강동구,암사2동
9914,2019,2,False,11740580,405388.45454545453,40663.22727272727,29630.636363636364,42275.22727272727,63189.36363636364,63425.545454545456,59413.09090909091,46755.5,45988.454545454544,1125058,11740580,서울,강동구,암사2동
9915,2019,2,True,11740580,414320.75,36322.25,28262.875,44893.25,69683.375,67665.25,61596.125,46373.125,44965.0,1125058,11740580,서울,강동구,암사2동
9916,2019,3,False,11740580,397127.95454545453,39297.09090909091,24728.5,39196.0,63833.36363636364,63631.181818181816,59919.59090909091,47274.36363636364,44999.59090909091,1125058,11740580,서울,강동구,암사2동
9917,2019,3,True,11740580,423173.6,40196.6,29014.5,44695.0,71129.4,69617.4,62370.9,47006.5,44680.8,1125058,11740580,서울,강동구,암사2동
9918,2019,4,False,11740580,391383.4090909091,40189.181818181816,24859.636363636364,38107.90909090909,61963.13636363636,63129.454545454544,58562.63636363636,45967.63636363636,43984.0,1125058,11740580,서울,강동구,암사2동
9919,2019,4,True,11740580,419514.875,41791.125,29770.375,44308.0,70159.5,69159.625,60172.5,45274.125,44363.25,1125058,11740580,서울,강동구,암사2동
9920,2019,5,False,11740580,381188.95652173914,37324.260869565216,23517.956521739132,37225.434782608696,61462.217391304344,62622.434782608696,57223.391304347824,45086.217391304344,41917.086956521736,1125058,11740580,서울,강동구,암사2동
9921,2019,5,True,11740580,399808.25,37127.75,27105.25,42627.875,68215.0,66075.375,58445.375,43959.0,41256.125,1125058,11740580,서울,강동구,암사2동
9922,2019,6,False,11740580,383941.7,38790.75,24278.85,38366.7,62339.1,61850.75,56906.0,45639.2,40893.45,1125058,11740580,서울,강동구,암사2동
9923,2019,6,True,11740580,402944.7,38181.8,27505.4,42753.6,69249.4,65894.0,59197.8,44892.3,40267.6,1125058,11740580,서울,강동구,암사2동
